timestamp,pv_kw,load_kw,period,import_price,export_price,action_kw,soc_kwh,soc_pct,net_grid_kw,grid_import_kwh,grid_export_kwh,cost_aud,degradation_cost_aud,scenario
2026-05-08 00:00:00,0.0,0.4302654392002984,off_peak,0.18,0.06,-0.0,5.0,50.0,0.4302654392002984,0.4302654392002984,0.0,0.07744777905605371,0.0,base
2026-05-08 01:00:00,0.0,0.4661732785745272,off_peak,0.18,0.06,2.877498913987632,2.0,20.0,-2.411325635413105,0.0,2.411325635413105,-0.1446795381247863,0.05754997827975264,base
2026-05-08 02:00:00,0.0,0.41700156731801347,off_peak,0.18,0.06,0.0,2.0,20.0,0.41700156731801347,0.41700156731801347,0.0,0.07506028211724242,0.0,base
2026-05-08 03:00:00,0.0,0.3324587797617721,off_peak,0.18,0.06,-0.0,2.0,20.0,0.3324587797617721,0.3324587797617721,0.0,0.05984258035711898,0.0,base
2026-05-08 04:00:00,0.0,0.4169983581237911,off_peak,0.18,0.06,0.0,2.0,20.0,0.4169983581237911,0.4169983581237911,0.0,0.0750597044622824,0.0,base
2026-05-08 05:00:00,0.0,0.629301926108408,off_peak,0.18,0.06,0.0,2.0,20.0,0.629301926108408,0.629301926108408,0.0,0.11327434669951343,0.0,base
2026-05-08 06:00:00,0.0,1.2597184453036276,off_peak,0.18,0.06,-0.0,2.0,20.0,1.2597184453036276,1.2597184453036276,0.0,0.22674932015465296,0.0,base
2026-05-08 07:00:00,0.030888,1.9697946780784383,shoulder,0.3,0.06,0.0,2.0,20.0,1.9389066780784383,1.9389066780784383,0.0,0.5816720034235314,0.0,base
2026-05-08 08:00:00,0.622908,1.8503705907545938,shoulder,0.3,0.06,0.0,2.0,20.0,1.2274625907545937,1.2274625907545937,0.0,0.3682387772263781,0.0,base
2026-05-08 09:00:00,1.5443999999999998,1.2661235016090455,shoulder,0.3,0.06,0.0,2.0,20.0,-0.27827649839095425,0.0,0.27827649839095425,-0.016696589903457255,0.0,base
2026-05-08 10:00:00,2.3165999999999998,0.8260487868819144,shoulder,0.3,0.06,0.0,2.0,20.0,-1.4905512131180854,0.0,1.4905512131180854,-0.08943307278708512,0.0,base
2026-05-08 11:00:00,2.8983239999999997,0.5825968921135916,shoulder,0.3,0.06,0.0,2.0,20.0,-2.315727107886408,0.0,2.315727107886408,-0.13894362647318448,0.0,base
2026-05-08 12:00:00,3.171168,0.4873722571792271,shoulder,0.3,0.06,0.0,2.0,20.0,-2.6837957428207733,0.0,2.6837957428207733,-0.1610277445692464,0.0,base
2026-05-08 13:00:00,3.1248359999999997,0.3477842872912754,shoulder,0.3,0.06,-2.777051712708724,4.663654429135615,46.63654429135615,0.0,0.0,-0.0,0.0,0.05554103425417448,base
2026-05-08 14:00:00,2.77992,0.4230263121850336,shoulder,0.3,0.06,-2.3568936878149667,6.924307438159572,69.24307438159573,0.0,0.0,-0.0,0.0,0.04713787375629933,base
2026-05-08 15:00:00,2.1209759999999998,0.6581671308806321,shoulder,0.3,0.06,-1.4628088691193677,8.327384415580392,83.27384415580391,0.0,0.0,-0.0,0.0,0.029256177382387356,base
2026-05-08 16:00:00,1.271556,0.7968900303312567,peak,0.55,0.06,0.0,8.327384415580392,83.27384415580391,-0.4746659696687432,0.0,0.4746659696687432,-0.028479958180124592,0.0,base
2026-05-08 17:00:00,0.38095199999999996,1.3880622695655216,peak,0.55,0.06,-0.0,8.327384415580392,83.27384415580391,1.0071102695655216,1.0071102695655216,0.0,0.553910648261037,0.0,base
2026-05-08 18:00:00,0.0,1.8555390971540069,peak,0.55,0.06,5.0,3.114524064153523,31.14524064153523,-3.144460902845993,0.0,3.144460902845993,-0.1886676541707596,0.1,base
2026-05-08 19:00:00,0.0,2.1310965452930093,peak,0.55,0.06,-0.0,3.114524064153523,31.14524064153523,2.1310965452930093,2.1310965452930093,0.0,1.1721030999111552,0.0,base
2026-05-08 20:00:00,0.0,1.7736022679243226,peak,0.55,0.06,0.0,3.114524064153523,31.14524064153523,1.7736022679243226,1.7736022679243226,0.0,0.9754812473583775,0.0,base
2026-05-08 21:00:00,0.0,1.2954767382155694,shoulder,0.3,0.06,0.0,3.114524064153523,31.14524064153523,1.2954767382155694,1.2954767382155694,0.0,0.38864302146467083,0.0,base
2026-05-08 22:00:00,0.0,0.670010118593902,off_peak,0.18,0.06,-0.0,3.114524064153523,31.14524064153523,0.670010118593902,0.670010118593902,0.0,0.12060182134690237,0.0,base
2026-05-08 23:00:00,0.0,0.5025889677657149,off_peak,0.18,0.06,1.0690139280716144,2.0,20.0,-0.5664249603058995,0.0,0.5664249603058995,-0.03398549761835397,0.02138027856143229,base
