timestamp,pv_kw,load_kw,period,import_price,export_price,action_kw,soc_kwh,soc_pct,net_grid_kw,grid_import_kwh,grid_export_kwh,cost_aud,degradation_cost_aud,scenario
2026-05-08 00:00:00,0.0,0.4302654392002984,off_peak,0.18,0.06,-0.0,5.0,50.0,0.4302654392002984,0.4302654392002984,0.0,0.07744777905605371,0.0,low
2026-05-08 01:00:00,0.0,0.4661732785745272,off_peak,0.18,0.06,2.877498913987632,2.0,20.0,-2.411325635413105,0.0,2.411325635413105,-0.1446795381247863,0.05754997827975264,low
2026-05-08 02:00:00,0.0,0.41700156731801347,off_peak,0.18,0.06,0.0,2.0,20.0,0.41700156731801347,0.41700156731801347,0.0,0.07506028211724242,0.0,low
2026-05-08 03:00:00,0.0,0.3324587797617721,off_peak,0.18,0.06,-0.0,2.0,20.0,0.3324587797617721,0.3324587797617721,0.0,0.05984258035711898,0.0,low
2026-05-08 04:00:00,0.0,0.4169983581237911,off_peak,0.18,0.06,0.0,2.0,20.0,0.4169983581237911,0.4169983581237911,0.0,0.0750597044622824,0.0,low
2026-05-08 05:00:00,0.0,0.629301926108408,off_peak,0.18,0.06,0.0,2.0,20.0,0.629301926108408,0.629301926108408,0.0,0.11327434669951343,0.0,low
2026-05-08 06:00:00,0.0,1.2597184453036276,off_peak,0.18,0.06,-0.0,2.0,20.0,1.2597184453036276,1.2597184453036276,0.0,0.22674932015465296,0.0,low
2026-05-08 07:00:00,0.023166,1.9697946780784383,shoulder,0.3,0.06,0.0,2.0,20.0,1.9466286780784383,1.9466286780784383,0.0,0.5839886034235314,0.0,low
2026-05-08 08:00:00,0.467181,1.8503705907545938,shoulder,0.3,0.06,0.0,2.0,20.0,1.3831895907545937,1.3831895907545937,0.0,0.4149568772263781,0.0,low
2026-05-08 09:00:00,1.1582999999999999,1.2661235016090455,shoulder,0.3,0.06,0.0,2.0,20.0,0.10782350160904564,0.10782350160904564,0.0,0.03234705048271369,0.0,low
2026-05-08 10:00:00,1.73745,0.8260487868819144,shoulder,0.3,0.06,0.0,2.0,20.0,-0.9114012131180855,0.0,0.9114012131180855,-0.054684072787085126,0.0,low
2026-05-08 11:00:00,2.173743,0.5825968921135916,shoulder,0.3,0.06,0.0,2.0,20.0,-1.5911461078864084,0.0,1.5911461078864084,-0.0954687664731845,0.0,low
2026-05-08 12:00:00,2.3783760000000003,0.4873722571792271,shoulder,0.3,0.06,0.0,2.0,20.0,-1.891003742820773,0.0,1.891003742820773,-0.11346022456924638,0.0,low
2026-05-08 13:00:00,2.3436269999999997,0.3477842872912754,shoulder,0.3,0.06,0.0,2.0,20.0,-1.9958427127087242,0.0,1.9958427127087242,-0.11975056276252344,0.0,low
2026-05-08 14:00:00,2.08494,0.4230263121850336,shoulder,0.3,0.06,-1.6619136878149665,3.594051610609582,35.940516106095814,0.0,0.0,-0.0,0.0,0.03323827375629933,low
2026-05-08 15:00:00,1.5907319999999998,0.6581671308806321,shoulder,0.3,0.06,-0.9325648691193678,4.488536409980915,44.885364099809145,0.0,0.0,-0.0,0.0,0.018651297382387355,low
2026-05-08 16:00:00,0.9536669999999999,0.7968900303312567,peak,0.55,0.06,-0.15677696966874322,4.638911596634275,46.38911596634274,0.0,0.0,-0.0,0.0,0.0031355393933748645,low
2026-05-08 17:00:00,0.28571399999999997,1.3880622695655216,peak,0.55,0.06,-0.0,4.638911596634275,46.38911596634274,1.1023482695655216,1.1023482695655216,0.0,0.6062915482610369,0.0,low
2026-05-08 18:00:00,0.0,1.8555390971540069,peak,0.55,0.06,-0.0,4.638911596634275,46.38911596634274,1.8555390971540069,1.8555390971540069,0.0,1.0205465034347039,0.0,low
2026-05-08 19:00:00,0.0,2.1310965452930093,peak,0.55,0.06,2.5311550844748307,2.0,20.0,-0.40005853918182144,0.0,0.40005853918182144,-0.024003512350909285,0.050623101689496616,low
2026-05-08 20:00:00,0.0,1.7736022679243226,peak,0.55,0.06,0.0,2.0,20.0,1.7736022679243226,1.7736022679243226,0.0,0.9754812473583775,0.0,low
2026-05-08 21:00:00,0.0,1.2954767382155694,shoulder,0.3,0.06,0.0,2.0,20.0,1.2954767382155694,1.2954767382155694,0.0,0.38864302146467083,0.0,low
2026-05-08 22:00:00,0.0,0.670010118593902,off_peak,0.18,0.06,-0.0,2.0,20.0,0.670010118593902,0.670010118593902,0.0,0.12060182134690237,0.0,low
2026-05-08 23:00:00,0.0,0.5025889677657149,off_peak,0.18,0.06,0.0,2.0,20.0,0.5025889677657149,0.5025889677657149,0.0,0.09046601419782868,0.0,low
